,,,,,,Response time in milliseconds,,,,,,
,,,,,,,,,,,,
Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01.01 /welcome ,489,1408,1050,2755,3329,5638,309,13977,0.00%,0.27156,1.44,0.1
01.02 /login-messages/promos.html-16,487,1168,993,2242,3023,3511,258,13131,0.00%,0.27054,0.96,0.13
01. Login Form,487,2578,2091,4666,5644,8555,572,19181,0.00%,0.27043,2.39,0.23
02.01 /login-details,485,3279,2871,4979,5681,15753,942,27216,0.00%,0.26933,2.45,1.67
02. Login,485,3279,2871,4979,5681,15753,942,27216,0.00%,0.26933,2.45,1.67
03.01 /one/one.app-46,471,2381,1709,3444,4241,20119,657,25007,0.00%,0.26189,21.75,2
03.02 /_slds/fonts/v2.3.0/SalesforceSans-Regular.woff2-56,49,867,424,861,6574,9186,71,9186,0.00%,0.41049,11.27,0.65
03.03 /aura?preloadActions-55,468,537,470,781,974,1317,271,2191,0.00%,0.26293,5.56,0.48
03.04 /aura?r=0&ui-flexipage-components-page.FlexipageControllerV2.getPage=1-59,468,444,427,700,899,1290,148,2088,0.00%,0.2629,4.09,0.57
03.05 /aura?r=2&ui-force-components-controllers-hostConfig.HostConfig.getConfigData=1-62,468,374,418,627,903,1317,102,2171,0.00%,0.26285,3.5,0.56
03.06 /aura?r=1&ui-force-components-controllers-empApi.EmpApi.getEmpConfig=1&ui-global-components-one-consoleLayoutContainer.ConsoleLayout.getConsoleState=2&ui-global-components-one-favorites.Favorites.getFavorites=1&ui-global-components-one-header.Header.getSettings=1&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1&ui-notifications-components-notifications-controller.Notifications.getInitializationValues=1-61,468,445,433,665,919,1263,152,1559,0.00%,0.2628,0.82,1.07
03.07 /auraCmpDef-63,468,621,383,848,1762,11517,81,14853,0.00%,0.26286,0.39,0.3
03.08 /auraCmpDef-65,468,444,241,845,1273,3052,82,13184,0.00%,0.26284,0.58,0.3
03.09 /aura?r=3&ui-force-components-controllers-lists-listViewManager.ListViewManager.getMetadataInitialLoad=1-64,468,472,442,689,871,2174,157,3652,0.00%,0.26272,0.56,0.61
03.10 /aura?r=4&ui-liveagent-components-aura-controller.ChatConfig.getChatConfiguration=1&ui-liveagent-components-aura-controller.Status.getStatuses=1-67,468,416,423,577,961,1768,117,4585,0.00%,0.26276,0.48,0.63
03.11 /aura?r=5&ui-liveagent-components-aura-controller.OmniWidget.getDeclineReasons=1&ui-liveagent-components-aura-controller.OmniWidget.getSCRTInfo=1&ui-liveagent-components-aura-controller.OmniWidget.isDeclineReasonEnabled=1-68,468,452,427,596,927,2072,136,10716,0.00%,0.26271,0.55,0.71
03.12 /aura?r=6&ui-force-components-controllers-recordGlobalValueProvider.RecordGvp.getRecord=1-69,468,416,419,613,846,1777,116,6153,0.00%,0.26268,0.55,0.58
03.13 /aura?r=7&ui-force-components-controllers-lists-listViewDataManager.ListViewDataManager.getItems=1&ui-force-components-virtualRecordList.VirtualRecordList.getRecordLayoutComponent=1-70,468,461,441,604,940,1686,155,6818,0.00%,0.26269,1.53,0.79
03.14 /aura?r=8&ui-global-components-one-actionsManager.ActionsManager.handleAction=1-71,468,407,419,577,905,2232,109,4422,0.00%,0.26266,0.59,0.65
03.15 /aura?r=9&ui-search-components-forcesearch-sgdp.ScopesCache.getScopeMaps=1-72,468,438,423,701,890,1936,112,9973,0.00%,0.26244,0.52,0.56
03.16 /aura?r=10&ui-force-components-controllers-socialPhoto.SocialPhoto.resolvePhotos=1-73,468,442,418,816,911,2182,87,13692,0.00%,0.26214,0.48,0.58
03.17 /_nc_external/system/security/session/SessionTimeServlet-74,49,1000,439,1232,1667,24408,78,24408,0.00%,0.26858,0.25,0.25
03.18 /aura?r=15&ui-setup-components-aura-components-gear.Gear.getPermissions=1-79,468,359,406,820,912,1671,88,2541,0.00%,0.2621,0.47,0.55
03.19 /aura?r=14&ui-setup-components-aura-components-gear.Gear.getGearSetupApps=1-77,468,424,427,599,832,2224,114,7089,0.00%,0.26205,0.49,0.56
