,,,,,,Response time in milliseconds,,,,,,
,,,,,,,,,,,,
Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
03.29 /aura?r=17&ui-force-components-controllers-platformStateManager.PlatformStateManager.getActionOverrides=1&ui-force-components-controllers-platformStateManager.PlatformStateManager.getIsLWCFlexipageEnabled=1&ui-force-components-controllers-platformStateManager.PlatformStateManager.getKeyPrefixesWithRecordTypes=1-86,488,4458,220,9794,18863,57770,172,172493,4.92%,0.27156,2.57,18.18
03.30 /aura?r=20&ui-force-components-controllers-platformStateManager.PlatformStateManager.getFlexipageInfo=1-91,485,2721,123,6440,14783,30594,73,84828,4.54%,0.27056,0.51,0.72
03.31 /aura?r=18&ui-force-components-controllers-platformStateManager.PlatformStateManager.getFlexipageInfo=1-89,481,2308,122,5787,12647,30803,77,43017,4.37%,0.26893,0.51,0.72
03.32 /aura?r=19&ui-force-components-controllers-platformStateManager.PlatformStateManager.getFlexipageInfo=1-90,481,2236,123,6184,9087,27534,73,90711,4.37%,0.26835,0.51,0.72
03.33 /aura?r=21&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1-92,479,1867,101,4014,9080,19838,73,42481,4.38%,0.26727,0.44,0.56
03.34 /chat/rest/console-94,100,303,293,310,330,467,280,599,0.00%,1.72933,0.83,0.99
03.35 /chat/rest/cdm-99,477,16928,696,59499,78759,157399,596,275082,0.63%,0.26552,1.31,0.33
03.36 /cometd/40.0-87,460,92707,110073,111990,112620,169245,100,231533,0.65%,0.2562,0.25,0.35
03. Home Page,460,198700,118735,522629,599140,692294,89983,749022,11.09%,0.25496,61.97,63.88
04.01 /aura?r=53&ui-search-components-forcesearch-experiment.Experiment.startExperiment=1&ui-search-components-forcesearch-typeaheaddataprovider.TypeAheadDataProvider.getTypeaheadItems=1-457,457,6315,459,11866,34436,60378,347,168745,5.25%,0.27185,0.53,1.16
04.02 /aura?r=54&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-459,452,6852,323,15779,27250,63504,263,238109,4.65%,0.26958,0.48,23.91
04.03 /aura?r=55&ui-federated-search-components-federatedsearch-externalscopeslistdataprovider.ExternalScopesListDataProvider.getScopeMaps=1&ui-search-components-forcesearch-topresultsdataprovider.TopResultsDataProvider.getItems=1-461,452,4588,289,6468,21906,63018,75,166682,5.53%,0.269,0.82,1.19
04. Search Customer,452,17614,1272,45277,93278,214946,829,248132,6.42%,0.26888,1.81,26.18
05.01 /aura?r=56&ui-force-components-controllers-recordGlobalValueProvider.RecordGvp.getRecord=1-468,451,3330,197,5761,15459,40955,79,159451,4.44%,0.26845,0.53,0.68
05.02 /aura?r=59&aura.RecordUi.getObjectInfo=1-471,450,2498,129,5851,10534,31710,77,52328,4.22%,0.26719,2.16,0.55
05.03 /aura?r=58&aura.DynamicComponent.getTemplateDescriptorWithExpansionBundle=1-470,448,2536,209,3685,9940,27604,158,156305,3.80%,0.26604,1.41,0.63
05.04 /aura?r=57&aura.DynamicComponent.getTemplateDescriptorWithExpansionBundle=1-469,445,2469,356,3476,7037,27665,264,80458,3.60%,0.26427,2,0.63
05.05 /cs127/auraCmpDef-472,100,282,278,307,322,339,253,387,0.00%,1.73295,9.5,1.22
05.06 /auraCmpDef-473,443,2762,253,5921,8923,33080,90,162345,0.00%,0.26319,1.34,0.46
05.07 /cs127/auraCmpDef-474,100,72,66,87,110,177,60,197,0.00%,1.73925,3.85,1.17
05.08 /aura?r=34&aura.ApexAction.execute=2-333,438,4520,1159,3873,8172,65947,685,204577,2.74%,0.26027,0.52,0.74
05.09 /aura?r=33&aura.ApexAction.execute=1-332,437,2470,604,3719,6615,19411,462,49283,2.06%,0.26051,0.5,0.62
05.10 /aura?r=31&aura.ApexAction.execute=1-330,436,2324,576,3574,6474,21572,449,27735,2.06%,0.26059,0.48,0.62
05.11 /aura?r=29&aura.ApexAction.execute=1-328,436,2365,563,3599,4124,29556,442,55817,2.06%,0.26007,0.48,0.61
05.12 /aura?r=30&aura.ApexAction.execute=1-329,435,2278,642,3613,5902,22390,468,53310,2.07%,0.25956,0.48,0.61
05.13 /aura?r=32&aura.ApexAction.execute=1-331,430,4012,606,3835,7056,78089,84,188955,2.79%,0.26105,0.48,0.61
05.14 /aura?r=28&aura.ApexAction.execute=1-327,430,3610,627,3701,10342,37162,484,177333,2.33%,0.26066,0.49,0.62
05.15 /aura?r=24&aura.ApexAction.execute=1-320,429,3593,592,3854,12301,40009,82,171473,2.33%,0.25736,0.5,0.6
