,,,,,,Reponse time in milliseconds,,,,,,
,,,,,,,,,,,,
Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/aura?r=21&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1-92,30,98,96,105,106,113,88,113,0.00%,0.11333,0.19,0.24
/chat/rest/console-94,10,315,296,349,349,436,287,436,0.00%,1.22745,0.59,0.7
/chat/rest/cdm-99,30,687,678,707,719,968,595,968,0.00%,0.11326,0.56,0.14
/cometd/40.0-87,30,110078,110071,110080,110081,110211,110068,110211,0.00%,0.08016,0.08,0.11
03. Home Page,30,116283,115823,117307,117448,117737,115391,117737,0.00%,0.07854,20.83,19.87
/aura?r=53&ui-search-components-forcesearch-experiment.Experiment.startExperiment=1&ui-search-components-forcesearch-typeaheaddataprovider.TypeAheadDataProvider.getTypeaheadItems=1-457,20,425,408,467,473,614,367,614,0.00%,0.14615,0.29,0.63
/aura?r=54&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-459,20,284,282,295,300,301,271,301,0.00%,0.14634,0.26,13.01
/aura?r=55&ui-federated-search-components-federatedsearch-externalscopeslistdataprovider.ExternalScopesListDataProvider.getScopeMaps=1&ui-search-components-forcesearch-topresultsdataprovider.TopResultsDataProvider.getItems=1-461,20,280,268,318,336,356,247,356,0.00%,0.14638,0.46,0.66
04. Search Customer,20,990,967,1057,1083,1235,897,1235,0.00%,0.14558,1.02,14.22
/aura?r=56&ui-force-components-controllers-recordGlobalValueProvider.RecordGvp.getRecord=1-468,20,194,194,209,211,212,166,212,0.00%,0.1465,0.3,0.37
/aura?r=59&aura.RecordUi.getObjectInfo=1-471,20,145,123,137,176,524,109,524,0.00%,0.1466,1.23,0.3
/aura?r=58&aura.DynamicComponent.getTemplateDescriptorWithExpansionBundle=1-470,20,211,196,265,330,361,160,361,0.00%,0.14659,0.8,0.35
/aura?r=57&aura.DynamicComponent.getTemplateDescriptorWithExpansionBundle=1-469,20,372,335,533,536,575,285,575,0.00%,0.14665,1.15,0.35
/cs127/auraCmpDef-472,10,280,271,304,304,332,256,332,0.00%,1.35685,7.43,0.96
/auraCmpDef-473,20,188,139,291,308,327,95,327,0.00%,0.1475,1.37,0.32
/cs127/auraCmpDef-474,10,75,66,78,78,139,61,139,0.00%,1.40193,3.11,0.94
/aura?r=34&aura.ApexAction.execute=2-333,20,1070,1021,1303,1343,1394,885,1394,0.00%,0.14675,0.29,0.42
/aura?r=33&aura.ApexAction.execute=1-332,20,622,583,756,791,1016,487,1016,0.00%,0.14752,0.29,0.35
/aura?r=31&aura.ApexAction.execute=1-330,20,563,526,629,803,856,477,856,0.00%,0.14761,0.27,0.35
/aura?r=29&aura.ApexAction.execute=1-328,20,566,528,690,705,785,482,785,0.00%,0.14766,0.27,0.35
/aura?r=30&aura.ApexAction.execute=1-329,20,588,563,668,707,842,503,842,0.00%,0.14756,0.27,0.35
/aura?r=32&aura.ApexAction.execute=1-331,20,540,526,579,623,701,482,701,0.00%,0.14786,0.27,0.35
/aura?r=28&aura.ApexAction.execute=1-327,20,587,567,647,687,757,515,757,0.00%,0.14766,0.28,0.35
/aura?r=24&aura.ApexAction.execute=1-320,20,554,520,634,708,793,450,793,0.00%,0.14759,0.29,0.35
/aura?r=23&aura.ApexAction.execute=1-319,20,544,513,643,662,792,467,792,0.00%,0.14758,0.28,0.34
/aura?r=25&aura.ApexAction.execute=1-321,20,565,528,689,719,743,473,743,0.00%,0.14779,0.26,0.35
/aura?r=21&aura.ApexAction.execute=1-317,20,205,201,233,246,261,174,261,0.00%,0.14837,0.27,0.34
/aura?r=22&aura.ApexAction.execute=1-318,20,132,130,139,145,160,122,160,0.00%,0.14846,0.26,0.33
/aura?r=20&aura.ApexAction.execute=1-316,20,126,127,131,131,135,115,135,0.00%,0.14845,0.25,0.34
/aura?r=75&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-501,20,162,158,183,197,219,139,219,0.00%,0.14843,0.27,7.3
/aura?r=74&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-500,20,210,185,206,228,619,172,619,0.00%,0.1484,0.27,14.47
/aura?r=26&aura.ApexAction.execute=7&aura.RecordUi.getRecordWithFields=1&ui-global-components-one-workspaceTabWrapper.WorkspaceTabWrapper.getThemeForEntityApiName=1-323,20,2105,2086,2198,2289,2326,1916,2326,0.00%,0.14642,0.56,0.95
Debug Sampler,20,0,0,1,1,1,0,1,0.00%,0.14891,0.33,0
05. Customer Details,20,10437,10298,10857,11679,11789,9655,11789,0.00%,0.13699,9.69,26.89
TOTAL,1760,4278,184,945,2104,115787,0,117737,0.00%,4.58308,52.33,71.25
