Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/aura?r=17&ui-force-components-controllers-platformStateManager.PlatformStateManager.getActionOverrides=1&ui-force-components-controllers-platformStateManager.PlatformStateManager.getIsLWCFlexipageEnabled=1&ui-force-components-controllers-platformStateManager.PlatformStateManager.getKeyPrefixesWithRecordTypes=1-299,3194,264,199,259,384,2075,165,5495,0.000%,1.79560,17.85,121.11
/aura?r=18&ui-opencti-components-openCtiApiHandler.OpenCtiApiHandler.getHVSConfig=1&ui-opencti-components-openCtiApiHandler.OpenCtiApiHandler.isRecordActionEnabled=1-300,3194,122,94,119,137,1840,84,2989,0.000%,1.79571,3.05,4.36
/aura?r=20&ui-force-components-controllers-platformStateManager.PlatformStateManager.getFlexipageInfo=1-302,3194,142,116,143,163,1419,102,3420,0.000%,1.79569,3.47,4.85
/aura?r=21&ui-force-components-controllers-platformStateManager.PlatformStateManager.getFlexipageInfo=1-303,3194,146,116,143,164,1881,100,2146,0.000%,1.79569,3.47,4.85
/aura?r=22&ui-force-components-controllers-platformStateManager.PlatformStateManager.getFlexipageInfo=1-304,3194,145,116,144,169,1846,101,2805,0.000%,1.79570,3.47,4.85
/aura?r=23&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1-305,3194,128,97,122,142,1873,86,2244,0.000%,1.79572,3.00,3.82
/aura?r=19&ui-opencti-components-openCtiApiHandler.OpenCtiApiHandler.getSoftphoneConfig=1-301,3194,480,357,561,1953,2273,290,2839,0.000%,1.79548,94.31,3.79
/aura?r=24&ui-opencti-components-openCtiApiHandler.OpenCtiApiHandler.getSoftphoneConfig=1-306,3194,481,355,537,1970,2262,286,3724,0.000%,1.79549,94.31,3.79
/apex/ctipage-307,3194,927,789,1175,2591,2891,530,4171,0.000%,1.79525,16.81,12.09
03. Home Screen - Customers,3196,8024,8242,9384,10703,12501,2066,14457,0.063%,1.78884,400.90,445.39
